#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00004         13.6011        0.742325
               2      0.00039534         1.00005         13.5991        0.802873
               3     0.000790723         1.00007         14.8728        0.865556
               4      0.00114845         1.00009         16.1689        0.928181
               5       0.0014758         1.00011         17.4827        0.997596
