#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00008         3.28272         15.6906
               2     0.000244141          1.0002         3.28272         16.0579
               3     0.000488281         1.00032         3.34607         24.2596
               4     0.000732422         1.00044         3.41034         36.0122
               5     0.000976562         1.00056         3.47657         46.1959
               6       0.0012207         1.00068         3.54483         51.5993
               7      0.00146484          1.0008         3.61525         57.1447
               8      0.00170898         1.00092         3.68792          72.191
               9      0.00195312         1.00104         3.76296         91.0642
              10      0.00219727         1.00116         3.84051          112.19
