#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0               1       0.0307678        0.439246
               2          0.0025         1.02507       0.0307682        0.456932
               3           0.005         1.04387        0.029991        0.477292
               4          0.0075         1.05931       0.0292024        0.497699
               5            0.01         1.07274       0.0284147        0.523484
