#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00077         2.87461        0.886269
               2      0.00235463         1.00181         2.89169        0.920393
               3      0.00469547          1.0029         3.27965        0.999604
               4      0.00673687         1.00392         3.71694          1.0809
               5       0.0085181         1.00487         4.19219         1.16645
