#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.01516         28.2448        0.457768
               2     0.000144717         1.02501         28.2463        0.474089
               3     0.000289444         1.06142         47.3838        0.493561
               4     0.000369179         1.12585         72.9458        0.512871
               5     0.000419337         1.20879           96.37        0.537392
