#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00024         30.7678        0.438266
               2     0.000133482         1.00026         30.7682        0.455154
               3     0.000266968         1.00028         33.3851        0.474642
               4     0.000389829          1.0003         36.0718        0.494721
               5     0.000502601         1.00033          38.899        0.520127
