#       Timestep            Time            Vrms        CPU_Time
               1               0        0.302908        0.623672
               2       0.0969154        0.294646        0.896165
               3        0.195602         0.29432         1.00426
               4        0.294401        0.294221         1.15104
               5        0.393772        0.294375         1.26407
