#       Timestep            Time            Vrms        CPU_Time         Nusselt
               1               0         1.22574         996.922          2.0968
               2     5.53241e-06         1.25241         995.601         3.21911
               3     1.10689e-05         1.30155         1068.47         4.02183
               4     1.62193e-05         1.35406         1139.94          5.2179
               5     2.10335e-05         1.40845         1206.92          6.4148
               6     2.55639e-05         1.46486         1269.16         7.48147
               7     2.98524e-05         1.52288         1326.72         8.75226
               8     3.39335e-05         1.58244         1379.81         9.82259
               9     3.78347e-05         1.64318         1428.64         10.7621
              10     4.15788e-05         1.70512         1473.61         11.6238
