#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0               0         101.624        0.327806
               2         2.5e-05      -0.0012678         101.623        0.391726
               3           5e-05     -0.00139594         99.1615        0.457797
               4         7.5e-05     0.000732987         99.2342        0.523764
               5          0.0001      0.00486825         100.697        0.593664
