#       Timestep            Time            Vrms        CPU_Time
               1               0     0.000162876        0.360655
               2         131.897     0.000377376        0.410602
               3         188.609     0.000617797        0.460483
               4         222.146     0.000893581        0.509944
               5         241.607      0.00117879        0.562875
