#       Timestep            Time            Vrms        CPU_Time     MaxVelocity         MaxTemp
               1               0         1.33642         2.00699         4.48794               1
               2        0.011141         1.33643         2.69114         4.48799         1.00403
               3       0.0222818         1.36512         3.43373         4.63547        0.919716
               4       0.0330682         1.37211         4.17717         4.49803        0.776473
               5       0.0441842         1.37748          5.1074         4.28652        0.803614
