#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00078         2.90051          1.0686
               2      0.00233379         1.00181         2.90052         1.10337
               3      0.00466757         1.00291         3.30811         1.61838
               4      0.00669088         1.00391         3.75348         2.13175
               5      0.00845411         1.00486         4.23615         2.65247
