#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         10.6466         608.821        0.456258
               2     1.67189e-05         10.7784          608.24        0.517863
               3     3.34756e-05         10.9106         610.578        0.579595
               4     5.01474e-05         11.0353         610.475        0.641471
               5     6.67914e-05         11.1762          611.85        0.708961
