#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00004         13.5673        0.647254
               2     0.000396053         1.00005         13.5666        0.664838
               3     0.000792103         1.00007         14.8352        0.684854
               4      0.00115061         1.00009         16.1268        0.704829
               5      0.00147869         1.00011          17.437        0.730425
