#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         3.12173         942.681        0.922165
               2     1.84432e-05         3.65485         930.475        0.996938
               3     3.70386e-05          4.9274         1113.66         1.07138
               4     5.23703e-05          6.3377         1274.75         1.14702
               5     6.55242e-05         7.76633         1396.33         1.23025
